contig,pbi,pbf,len-region,class,disruptive_subcompartment,conserved hypothetical protein_density,TcMUC_density,MASP_density,TS-GV_density,RHS_density,DGF-1_density,TS-all_density,GP63_density,RHS_density,DGF-1_density,ncRNA_density,transposon_density,Sswitch_density,TS-GII_density,TS-GI_density,TS-GIII_density,TS-GIV_density,TS-GVI_density,TS-GVII_density,TS-GVIII_density,SIRE|RA_density,L1Tc_density,RNase H_density,NARTc|RA_density,VIPER_density,SAP_density
RA_1,1,714301,714301,disruptive,TcMUC-MASP-TSGV,0.30799340894104865,0.5879874170692747,1.161975133732138,0.16799640487693565,0.06999850203205651,0.0,0.25199460731540346,0.08399820243846783,0.06999850203205651,0.0,0.0,0.27999400812822595,0.4619901134115736,0.05599880162564522,0.0,0.0,0.0,0.0,0.02799940081282261,0.0,0.15399670447052433,0.06999850203205651,0.05599880162564522,0.04199910121923391,0.013999700406411304,0.09799790284487912
RA_1,714302,846001,131700,core,core,2.9612756264236904,0.0,0.07593014426727411,0.0,0.07593014426727411,0.0,0.0,0.0,0.07593014426727411,0.0,0.0,0.0,0.07593014426727507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RA_1,846002,878701,32700,disruptive,RHS-DGF1-TSGII,0.0,0.0,0.0,0.0,0.6116207951070337,0.30581039755351686,0.6116207951070337,0.0,0.6116207951070337,0.30581039755351686,0.3058103975535169,0.0,0.6116207951070329,0.6116207951070337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RA_1,878702,881497,2796,core,core,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RA_2,1,2401,2401,core,core,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RA_2,2402,78901,76500,disruptive,RHS-DGF1-TSGII,0.6535947712418301,0.0,0.130718954248366,0.0,0.261437908496732,0.39215686274509803,0.130718954248366,0.0,0.261437908496732,0.39215686274509803,0.392156862745098,0.784313725490196,0.7843137254901968,0.130718954248366,0.0,0.0,0.0,0.0,0.0,0.0,0.6535947712418301,0.0,0.0,0.0,0.130718954248366,0.0
RA_2,78902,213001,134100,core,core,2.6845637583892614,0.0,0.07457121551081282,0.0,0.07457121551081282,0.0,0.0,0.0,0.07457121551081282,0.0,0.0,0.0,0.14914243102162672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RA_2,213002,867376,654375,disruptive,TcMUC-MASP-TSGV,0.3056351480420248,0.3361986628462273,0.9933142311365807,0.2597898758357211,0.18338108882521492,0.0,0.443170964660936,0.0764087870105062,0.18338108882521492,0.0,0.0,0.3820439350525311,0.4126074498567327,0.0764087870105062,0.0,0.0,0.0,0.0,0.0,0.0,0.2139446036294174,0.06112702960840497,0.06112702960840497,0.0,0.1069723018147087,0.12225405921680994
RA_3,1,88201,88201,disruptive,RHS-DGF1-TSGII,0.22675479869842743,0.0,0.0,0.0,0.5668869967460687,0.3401321980476412,0.22675479869842743,0.0,0.5668869967460687,0.3401321980476412,0.3401321980476413,0.5668869967460686,0.9070191947937101,0.22675479869842743,0.0,0.0,0.0,0.0,0.0,0.0,0.11337739934921372,0.11337739934921372,0.11337739934921372,0.3401321980476412,0.0,0.0
RA_3,88202,114901,26700,core,core,2.247191011235955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1235955056179776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1235955056179776,0.0,0.37453183520599254,0.0,0.0,0.0
RA_3,114902,120901,6000,disruptive,Other,3.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RA_3,120902,381301,260400,core,core,1.1904761904761905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0768049155145929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07680491551459294,0.0,0.0,0.0,0.0,0.0
RA_3,381302,410101,28800,disruptive,Other,3.4722222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RA_3,410102,660901,250800,core,core,1.3556618819776716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0797448165869219,0.03987240829346206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07974481658692185,0.0,0.0,0.0,0.0,0.0
RA_3,660902,674701,13800,disruptive,GP63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7246376811594203,0.0,0.0,0.0,1.4492753623188408,0.72463768115942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7246376811594203,0.7246376811594203,0.0,0.0,0.0,0.0
RA_3,674702,800813,126112,core,core,1.4273027150469426,0.0,0.0,0.0,0.0,0.0,0.0,0.0792945952803857,0.0,0.0,0.0,0.31717838112154273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3171783811215428,0.0,0.0,0.0,0.0,0.0
RA_4,1,792836,792836,disruptive,TcMUC-MASP-TSGV,0.23964603020044498,0.5675827031063171,0.9964229676755344,0.2018071833266905,0.07567769374750895,0.025225897915836314,0.4540661624850536,0.012612948957918157,0.07567769374750895,0.025225897915836314,0.025225897915836404,0.34054962186379023,0.3153237239479534,0.0882906427054271,0.0,0.0,0.0,0.12612948957918158,0.025225897915836314,0.0,0.07567769374750895,0.25225897915836315,0.25225897915836315,0.0,0.012612948957918157,0.012612948957918157
RA_5,1,34501,34501,disruptive,RHS-DGF1-TSGII,0.28984667111098233,0.0,0.0,0.0,0.8695400133329468,0.0,0.0,0.0,0.8695400133329468,0.0,0.0,2.028926697776876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4492333555549115,0.0,0.0,0.0,0.5796933422219647,0.0
RA_5,34502,121801,87300,core,core,1.9473081328751431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RA_5,121802,131401,9600,disruptive,Other,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RA_5,131402,144001,12600,core,core,1.5873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RA_5,144002,184201,40200,disruptive,Other,2.2388059701492535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RA_5,184202,221101,36900,core,core,1.6260162601626016,0.0,0.0,0.0,0.0,0.0,0.0,0.27100271002710025,0.0,0.0,0.0,0.0,0.2710027100271013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RA_5,221102,777693,556592,disruptive,TcMUC-MASP-TSGV,0.1976312990484951,0.6827263058038923,0.862391123120706,0.287463707706902,0.0,0.12576537212176964,0.5569609336821226,0.12576537212176964,0.0,0.12576537212176964,0.12576537212176975,0.1976312990484952,0.4850950067553974,0.17966481731681375,0.0,0.0,0.0,0.053899445195044124,0.0,0.0,0.12576537212176964,0.017966481731681375,0.0,0.053899445195044124,0.0,0.053899445195044124
RA_6,1,45001,45001,disruptive,Other,1.111086420301771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RA_6,45002,55201,10200,core,core,2.941176470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RA_6,55202,101701,46500,disruptive,GP63,1.7204301075268815,0.0,0.0,0.0,0.0,0.0,0.0,0.2150537634408602,0.0,0.0,1.290322580645161,0.0,0.8602150537634401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RA_6,101702,128101,26400,core,core,2.272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5151515151515151,0.3787878787878789,1.1363636363636367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3787878787878788,0.3787878787878788,0.0,0.0,0.0
RA_6,128102,482701,354600,disruptive,TcMUC-MASP-TSGV,0.36661026508742245,1.015228426395939,0.338409475465313,0.1410039481105471,0.0,0.0,0.3102086858432036,0.0,0.0,0.0,0.056401579244218736,0.5640157924421882,1.3818386914833614,0.0,0.1692047377326565,0.0,0.0,0.0,0.0,0.0,0.0,0.5640157924421884,0.9870276367738298,0.0,0.0,0.0
